geoid,name,B08105A001,"B08105A001, Error",B08105A002,"B08105A002, Error",B08105A003,"B08105A003, Error",B08105A004,"B08105A004, Error",B08105A005,"B08105A005, Error",B08105A006,"B08105A006, Error",B08105A007,"B08105A007, Error"
14000US06037123206,"Census Tract 1232.06, Los Angeles, CA",665,135,466,121,55,36,68,36,20,21,13,19,43,33
14000US06037123301,"Census Tract 1233.01, Los Angeles, CA",1199,280,888,235,109,85,81,62,54,44,10,15,57,37
14000US06037123303,"Census Tract 1233.03, Los Angeles, CA",844,132,609,111,89,56,19,18,45,27,9,11,73,37
14000US06037123304,"Census Tract 1233.04, Los Angeles, CA",1085,238,869,224,107,68,77,74,14,21,12,19,6,15
14000US06037123410,"Census Tract 1234.10, Los Angeles, CA",1408,248,1002,237,120,89,92,73,40,52,115,81,39,46
14000US06037123420,"Census Tract 1234.20, Los Angeles, CA",1237,263,994,252,74,56,52,52,18,26,0,12,99,68
14000US06037123510,"Census Tract 1235.10, Los Angeles, CA",1003,238,845,209,40,33,15,19,10,17,48,51,45,39
14000US06037123520,"Census Tract 1235.20, Los Angeles, CA",912,133,713,127,87,45,16,12,26,40,11,19,59,32
14000US06037123601,"Census Tract 1236.01, Los Angeles, CA",1870,253,1446,240,90,52,120,69,17,18,53,45,144,73
14000US06037123602,"Census Tract 1236.02, Los Angeles, CA",1258,275,819,262,165,106,86,68,31,48,26,32,131,67
14000US06037123700,"Census Tract 1237, Los Angeles, CA",1668,452,1367,455,79,56,38,31,0,12,37,33,147,82
14000US06037123800,"Census Tract 1238, Los Angeles, CA",2106,331,1503,267,303,156,43,39,40,43,77,112,140,86
14000US06037123901,"Census Tract 1239.01, Los Angeles, CA",1266,208,822,209,166,91,110,74,3,8,75,85,90,55
14000US06037123902,"Census Tract 1239.02, Los Angeles, CA",869,197,772,192,21,21,40,40,0,12,0,12,36,24
14000US06037124000,"Census Tract 1240, Los Angeles, CA",2192,352,1626,330,54,47,167,108,0,17,77,74,268,135
14000US06037124102,"Census Tract 1241.02, Los Angeles, CA",1377,276,940,213,145,107,125,85,19,29,24,40,124,81
14000US06037124103,"Census Tract 1241.03, Los Angeles, CA",396,116,323,105,47,39,0,12,12,19,5,7,9,12
14000US06037124104,"Census Tract 1241.04, Los Angeles, CA",845,136,679,136,28,23,18,20,20,22,35,35,65,40
14000US06037124105,"Census Tract 1241.05, Los Angeles, CA",678,118,577,128,32,25,19,18,8,17,13,21,29,23
14000US06037124201,"Census Tract 1242.01, Los Angeles, CA",1237,262,960,249,243,176,0,12,0,12,0,12,34,30
14000US06037124203,"Census Tract 1242.03, Los Angeles, CA",993,186,696,176,88,46,112,71,14,21,17,23,66,36
14000US06037124204,"Census Tract 1242.04, Los Angeles, CA",666,191,444,136,39,41,69,74,0,12,12,16,102,59
14000US06037124300,"Census Tract 1243, Los Angeles, CA",1203,197,867,165,74,49,149,71,20,23,26,28,67,49
14000US06037124400,"Census Tract 1244, Los Angeles, CA",1985,260,1509,224,128,61,121,57,45,32,45,52,137,67
14000US06037124500,"Census Tract 1245, Los Angeles, CA",1025,208,639,166,73,69,46,37,9,13,57,49,201,86
14000US06037124600,"Census Tract 1246, Los Angeles, CA",1392,229,1071,233,75,73,37,33,0,12,28,45,181,78
14000US06037124700,"Census Tract 1247, Los Angeles, CA",2725,436,1966,392,202,127,155,108,0,17,106,92,296,102
14000US06037124902,"Census Tract 1249.02, Los Angeles, CA",913,186,736,198,93,71,44,29,7,11,6,11,27,25
