Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010
"06037542103","14000US06037542103","Census Tract 5421.03","Census Tract 5421.03, Los Angeles County, California","ca","140","00","ACSSF","0005553",,,,,"06","037",,,,"542103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45721,42000,41838,,,,55000,118438,45769,
"06037542104","14000US06037542104","Census Tract 5421.04","Census Tract 5421.04, Los Angeles County, California","ca","140","00","ACSSF","0005554",,,,,"06","037",,,,"542104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62188,47955,71750,,,,61667,,60625,
"06037542105","14000US06037542105","Census Tract 5421.05","Census Tract 5421.05, Los Angeles County, California","ca","140","00","ACSSF","0005555",,,,,"06","037",,,,"542105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43243,44219,,,,,49125,,46125,
"06037542106","14000US06037542106","Census Tract 5421.06","Census Tract 5421.06, Los Angeles County, California","ca","140","00","ACSSF","0005556",,,,,"06","037",,,,"542106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49000,58333,37250,,51875,,48125,9250,50682,
"06037542200","14000US06037542200","Census Tract 5422","Census Tract 5422, Los Angeles County, California","ca","140","00","ACSSF","0005557",,,,,"06","037",,,,"542200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45985,42383,47569,,,,46250,,46218,
"06037542401","14000US06037542401","Census Tract 5424.01","Census Tract 5424.01, Los Angeles County, California","ca","140","00","ACSSF","0005558",,,,,"06","037",,,,"542401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47958,39402,62870,,,,45300,21563,44417,
"06037542402","14000US06037542402","Census Tract 5424.02","Census Tract 5424.02, Los Angeles County, California","ca","140","00","ACSSF","0005559",,,,,"06","037",,,,"542402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61849,61389,52000,,,,69643,,67634,
"06037542501","14000US06037542501","Census Tract 5425.01","Census Tract 5425.01, Los Angeles County, California","ca","140","00","ACSSF","0005560",,,,,"06","037",,,,"542501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50559,24554,56198,,,,35491,,25298,
"06037542502","14000US06037542502","Census Tract 5425.02","Census Tract 5425.02, Los Angeles County, California","ca","140","00","ACSSF","0005561",,,,,"06","037",,,,"542502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35945,52813,18889,,,,38750,,50865,
"06037542601","14000US06037542601","Census Tract 5426.01","Census Tract 5426.01, Los Angeles County, California","ca","140","00","ACSSF","0005562",,,,,"06","037",,,,"542601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35909,40476,20500,,,,49625,,42353,
